id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note;tipo
74;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 1710 ml;Chanteclair Lavatrice Igienizzante 1710 ml;8015194530440;;;;;
75;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 1800 ml;Chanteclair Lavatrice Igienizzante 1800 ml;8015194526559;;;;;
76;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 2070 ml;Chanteclair Lavatrice Igienizzante 2070 ml;8015194533304;;;;;
77;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 5500 g;Chanteclair Lavatrice Igienizzante 5500 g;8015194525958;;;;;
78;REAL CHIMICA;Chanteclair Lavatrice Lavanda 1150 ml;Chanteclair Lavatrice Lavanda 1150 ml;8015194520793;;;;;
79;REAL CHIMICA;Chanteclair Lavatrice Lavanda 1260 ml;Chanteclair Lavatrice Lavanda 1260 ml;8015194530747;;;;;
80;REAL CHIMICA;Chanteclair Lavatrice Lavanda 1350 ml;Chanteclair Lavatrice Lavanda 1350 ml;8015194520076;;;;;
81;REAL CHIMICA;Chanteclair Lavatrice Lavanda 1750 ml;Chanteclair Lavatrice Lavanda 1750 ml;8015194519537;;;;;
82;REAL CHIMICA;Chanteclair Lavatrice Lavanda 1800 ml;Chanteclair Lavatrice Lavanda 1800 ml;8015194526535;;;;;
83;REAL CHIMICA;Chanteclair Lavatrice Lavanda 1900 ml;Chanteclair Lavatrice Lavanda 1900 ml;8015194530235;;;;;
84;REAL CHIMICA;Chanteclair Lavatrice Lavanda 2500 ml;Chanteclair Lavatrice Lavanda 2500 ml;8015194522445;;;;;
85;REAL CHIMICA;Chanteclair Lavatrice Lavanda 3700 ml;Chanteclair Lavatrice Lavanda 3700 ml;8015194530716;;;;;
86;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1150 ml;Chanteclair Lavatrice Marsiglia 1150 ml;8015194520779;;;;;
87;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1260 ml;Chanteclair Lavatrice Marsiglia 1260 ml;8015194530723;;;;;
88;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1350 ml;Chanteclair Lavatrice Marsiglia 1350 ml;8015194520052;;;;;
89;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1575 ml;Chanteclair Lavatrice Marsiglia 1575 ml;8015194533199;;;;;
90;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1710 ml;Chanteclair Lavatrice Marsiglia 1710 ml;8015194530228;;;;;
91;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1750 ml;Chanteclair Lavatrice Marsiglia 1750 ml;8015194519513;;;;;
92;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 1800 ml;Chanteclair Lavatrice Marsiglia 1800 ml;8015194525682;;;;;
93;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 2070 ml;Chanteclair Lavatrice Marsiglia 2070 ml;8015194532604;;;;;
94;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 2500 ml;Chanteclair Lavatrice Marsiglia 2500 ml;8015194522421;;;;;
95;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 3 x 1710 ml;Chanteclair Lavatrice Marsiglia 3 x 1710 ml;8015194533649;;;;;
96;REAL CHIMICA;Chanteclair Lavatrice Marsiglia 3330 ml;Chanteclair Lavatrice Marsiglia 3330 ml;8015194530693;;;;;
97;REAL CHIMICA;Chanteclair Lavatrice Marsiglia Ecoricarica 1250 ml;Chanteclair Lavatrice Marsiglia Ecoricarica 1250 ml;8015194521356;;;;;
98;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1150 ml;Chanteclair Lavatrice Muschio Bianco 1150 ml;8015194520786;;;;;
99;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1260 ml;Chanteclair Lavatrice Muschio Bianco 1260 ml;8015194530730;;;;;
100;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1350 ml;Chanteclair Lavatrice Muschio Bianco 1350 ml;8015194520069;;;;;
101;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1575 ml;Chanteclair Lavatrice Muschio Bianco 1575 ml;8015194533182;;;;;
102;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1710 ml;Chanteclair Lavatrice Muschio Bianco 1710 ml;8015194530204;;;;;
103;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1750 ml;Chanteclair Lavatrice Muschio Bianco 1750 ml;8015194519520;;;;;
104;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 1800 ml;Chanteclair Lavatrice Muschio Bianco 1800 ml;8015194525699;;;;;
105;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 2070 ml;Chanteclair Lavatrice Muschio Bianco 2070 ml;8015194532598;;;;;
106;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 3 x 1710 ml;Chanteclair Lavatrice Muschio Bianco 3 x 1710 ml;8015194533625;;;;;
107;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 3 x 1900 ml;Chanteclair Lavatrice Muschio Bianco 3 x 1900 ml;8015194533748;;;;;
108;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco 3330 ml;Chanteclair Lavatrice Muschio Bianco 3330 ml;8015194530709;;;;;
109;REAL CHIMICA;Chanteclair Lavatrice Muschio Bianco Ecoricarica 1250 ml;Chanteclair Lavatrice Muschio Bianco Ecoricarica 1250 ml;8015194521363;;;;;
110;REAL CHIMICA;Chanteclair Lavatrice Pulito Profondo 1260 ml;Chanteclair Lavatrice Pulito Profondo 1260 ml;8015194533175;;;;;
111;REAL CHIMICA;Chanteclair Lavatrice Pulito Profondo 1575 ml;Chanteclair Lavatrice Pulito Profondo 1575 ml;8015194533236;;;;;
112;REAL CHIMICA;Chanteclair Lavatrice Pulito Profondo 1710 ml;Chanteclair Lavatrice Pulito Profondo 1710 ml;8015194533281;;;;;
113;REAL CHIMICA;Chanteclair Lavatrice Pulito Profondo 2070 ml;Chanteclair Lavatrice Pulito Profondo 2070 ml;8015194533328;;;;;
114;REAL CHIMICA;Chanteclair Lavatrice Pulito Profondo 3330 ml;Chanteclair Lavatrice Pulito Profondo 3330 ml;8015194533359;;;;;
115;REAL CHIMICA;Chanteclair Lavatrice Sensitive 1150 ml;Chanteclair Lavatrice Sensitive 1150 ml;8015194520946;;;;;
116;REAL CHIMICA;Chanteclair Lavatrice al profumo di Muschio Bianco 6,480 kg;Chanteclair Lavatrice al profumo di Muschio Bianco 6,480 kg;8015194522704;;;;;
117;REAL CHIMICA;Chanteclair Multiuso Igienizzante 625 ml;Chanteclair Multiuso Igienizzante 625 ml;8015194526252;;;;;
118;REAL CHIMICA;Chanteclair Muschio Bianco 2500 ml;Chanteclair Muschio Bianco 2500 ml;8015194522438;;;;;
119;REAL CHIMICA;Chanteclair Muschio Bianco Ammorbidente 3000 ml;Chanteclair Muschio Bianco Ammorbidente 3000 ml;8015194513214;;;;;
120;REAL CHIMICA;Chanteclair NoCal Gel 750 ml;Chanteclair NoCal Gel 750 ml;8015194510435;;;;;
121;REAL CHIMICA;Chanteclair NoCal Polvere 650 g;Chanteclair NoCal Polvere 650 g;8015194510442;;;;;
122;REAL CHIMICA;Chanteclair NoCal Tabs 20 x 12 g;Chanteclair NoCal Tabs 20 x 12 g;8015194510428;;;;;
123;REAL CHIMICA;Chanteclair Piatti Concentrato Profumo di Arancia 500 ml;Chanteclair Piatti Concentrato Profumo di Arancia 500 ml;8015194100254;;;;;
124;REAL CHIMICA;Chanteclair Piatti Concentrato Profumo di Marsiglia 500 ml;Chanteclair Piatti Concentrato Profumo di Marsiglia 500 ml;8015194100421;;;;;
125;REAL CHIMICA;Chanteclair Professional Disincrostante 5 l;Chanteclair Professional Disincrostante 5 l;8015194533618;;;;;
126;REAL CHIMICA;Chanteclair Professional Disincrostante 700 ml;Chanteclair Professional Disincrostante 700 ml;8015194526184;;;;;
127;REAL CHIMICA;Chanteclair Professional Sgrassatore 5 l;Chanteclair Professional Sgrassatore 5 l;8015194533601;;;;;
128;REAL CHIMICA;Chanteclair Professional Sgrassatore 700 ml;Chanteclair Professional Sgrassatore 700 ml;8015194526153;;;;;
129;REAL CHIMICA;Chanteclair Sali marini e fior di Loto Ammorbidente 3000 ml;Chanteclair Sali marini e fior di Loto Ammorbidente 3000 ml;8015194513221;;;;;
130;REAL CHIMICA;Chanteclair Sapone Marsiglia Cubo 250 g;Chanteclair Sapone Marsiglia Cubo 250 g;8015194517878;;;;;
131;REAL CHIMICA;Chanteclair Sapone da Bucato Marsiglia 1,5 l;Chanteclair Sapone da Bucato Marsiglia 1,5 l;8015194502522;;;;;
132;REAL CHIMICA;Chanteclair Sapone da Bucato Marsiglia 1000 ml;Chanteclair Sapone da Bucato Marsiglia 1000 ml;8015194100056;;;;;
133;REAL CHIMICA;Chanteclair Sapone da Bucato Marsiglia Ecoricarica 1250 ml;Chanteclair Sapone da Bucato Marsiglia Ecoricarica 1250 ml;8015194522278;;;;;
134;REAL CHIMICA;Chanteclair Sapone da Bucato Muschio Bianco 1,5 l;Chanteclair Sapone da Bucato Muschio Bianco 1,5 l;8015194502539;;;;;
135;REAL CHIMICA;Chanteclair Sapone da Bucato Muschio Bianco 1000 ml;Chanteclair Sapone da Bucato Muschio Bianco 1000 ml;8015194101237;;;;;
136;REAL CHIMICA;Chanteclair Sapone da Bucato Muschio Bianco Ecoricarica 1250 ml;Chanteclair Sapone da Bucato Muschio Bianco Ecoricarica 1250 ml;8015194522261;;;;;
137;REAL CHIMICA;Chanteclair Sensitive Lavatrice Ipoallergenico 1800 ml;Chanteclair Sensitive Lavatrice Ipoallergenico 1800 ml;8015194526566;;;;;
138;REAL CHIMICA;Chanteclair Sgrassatore Candeggina Profumo Classico 625 ml;Chanteclair Sgrassatore Candeggina Profumo Classico 625 ml;8015194513528;;;;;
139;REAL CHIMICA;Chanteclair Sgrassatore Pavimenti Marsiglia e Limone 750 ml;Chanteclair Sgrassatore Pavimenti Marsiglia e Limone 750 ml;8015194514853;;;;;
140;REAL CHIMICA;Chanteclair Sgrassatore Pavimenti Muschio Bianco 750 ml;Chanteclair Sgrassatore Pavimenti Muschio Bianco 750 ml;8015194514860;;;;;
141;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante 2 x 800 ml;Chanteclair Sgrassatore Universale Disinfettante 2 x 800 ml;8015194529444;;;;;
142;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante 600 ml;Chanteclair Sgrassatore Universale Disinfettante 600 ml;8015194522971;;;;;
143;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante 700 ml;Chanteclair Sgrassatore Universale Disinfettante 700 ml;8015194523077;;;;;
144;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante 750 ml;Chanteclair Sgrassatore Universale Disinfettante 750 ml;8015194525163;;;;;
145;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Floral 600 ml;Chanteclair Sgrassatore Universale Disinfettante Floral 600 ml;8015194526351;;;;;
146;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Floral 700 ml;Chanteclair Sgrassatore Universale Disinfettante Floral 700 ml;8015194526368;;;;;
147;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Floral 750 ml;Chanteclair Sgrassatore Universale Disinfettante Floral 750 ml;8015194526375;;;;;
148;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Fresh per Tutte le Superfici 750 ml;Chanteclair Sgrassatore Universale Disinfettante Fresh per Tutte le Superfici 750 ml;8015194525927;;;;;
149;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Ricarica 600 ml;Chanteclair Sgrassatore Universale Disinfettante Ricarica 600 ml;8015194523022;;;;;
150;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Salviette 10 pz;Chanteclair Sgrassatore Universale Disinfettante Salviette 10 pz;8015194528713;;;;;
151;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Salviette 40 pz;Chanteclair Sgrassatore Universale Disinfettante Salviette 40 pz;8015194526214;;;;;
152;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante Salviette XXL 12 pz;Chanteclair Sgrassatore Universale Disinfettante Salviette XXL 12 pz;8015194526221;;;;;
153;REAL CHIMICA;Chanteclair Sgrassatore Universale Disinfettante per tutte le superfici 750 ml;Chanteclair Sgrassatore Universale Disinfettante per tutte le superfici 750 ml;8015194514921;;;;;
154;REAL CHIMICA;Chanteclair Sgrassatore Universale Elimina Odori 600 ml;Chanteclair Sgrassatore Universale Elimina Odori 600 ml;8015194535148;;;;;
